method,subject,protocol,score
CSP+LDA,1,within-CV,0.7569872958257713
CSP+LDA,2,within-CV,0.4964912280701754
CSP+LDA,3,within-CV,0.7707199032062915
CSP+LDA,4,within-CV,0.4894131881427707
CSP+LDA,5,within-CV,0.4165154264972777
CSP+LDA,6,within-CV,0.4479128856624319
CSP+LDA,7,within-CV,0.7225045372050818
CSP+LDA,8,within-CV,0.7918935269207501
CSP+LDA,9,within-CV,0.7119782214156081
CSP+MLP,1,within-CV,0.812401693889897
CSP+MLP,2,within-CV,0.4548094373865699
CSP+MLP,3,within-CV,0.7534180278281911
CSP+MLP,4,within-CV,0.4724742891712038
CSP+MLP,5,within-CV,0.4268602540834846
CSP+MLP,6,within-CV,0.4548094373865699
CSP+MLP,7,within-CV,0.7329703569267998
CSP+MLP,8,within-CV,0.7917120387174833
CSP+MLP,9,within-CV,0.7119782214156081
EEGNet,1,within-CV,0.6456745311554749
EEGNet,2,within-CV,0.4616454930429522
EEGNet,3,within-CV,0.8056261343012704
EEGNet,4,within-CV,0.4688445251058681
EEGNet,5,within-CV,0.4830006049606775
EEGNet,6,within-CV,0.3990320629159105
EEGNet,7,within-CV,0.6355111917725348
EEGNet,8,within-CV,0.7326073805202662
EEGNet,9,within-CV,0.8368421052631578
LSTM,1,within-CV,0.4100423472474289
LSTM,2,within-CV,0.2396854204476708
LSTM,3,within-CV,0.3575317604355716
LSTM,4,within-CV,0.2150635208711434
LSTM,5,within-CV,0.3404718693284936
LSTM,6,within-CV,0.2497882637628554
LSTM,7,within-CV,0.2777374470659407
LSTM,8,within-CV,0.3614035087719298
LSTM,9,within-CV,0.3437991530550514
CSP+LDA,1,LOSO,0.5729166666666666
CSP+LDA,2,LOSO,0.2916666666666667
CSP+LDA,3,LOSO,0.5868055555555556
CSP+LDA,4,LOSO,0.3958333333333333
CSP+LDA,5,LOSO,0.3125
CSP+LDA,6,LOSO,0.2916666666666667
CSP+LDA,7,LOSO,0.4722222222222222
CSP+LDA,8,LOSO,0.6215277777777778
CSP+LDA,9,LOSO,0.5590277777777778
CSP+MLP,1,LOSO,0.5902777777777778
CSP+MLP,2,LOSO,0.3194444444444444
CSP+MLP,3,LOSO,0.5659722222222222
CSP+MLP,4,LOSO,0.4479166666666667
CSP+MLP,5,LOSO,0.3055555555555556
CSP+MLP,6,LOSO,0.2673611111111111
CSP+MLP,7,LOSO,0.3368055555555556
CSP+MLP,8,LOSO,0.5590277777777778
CSP+MLP,9,LOSO,0.5034722222222222
EEGNet,1,LOSO,0.5798611111111112
EEGNet,2,LOSO,0.2847222222222222
EEGNet,3,LOSO,0.5555555555555556
EEGNet,4,LOSO,0.3680555555555556
EEGNet,5,LOSO,0.3055555555555556
EEGNet,6,LOSO,0.3298611111111111
EEGNet,7,LOSO,0.3784722222222222
EEGNet,8,LOSO,0.5347222222222222
EEGNet,9,LOSO,0.6840277777777778
LSTM,1,LOSO,0.3576388888888889
LSTM,2,LOSO,0.2395833333333333
LSTM,3,LOSO,0.3333333333333333
LSTM,4,LOSO,0.2743055555555556
LSTM,5,LOSO,0.2604166666666667
LSTM,6,LOSO,0.3020833333333333
LSTM,7,LOSO,0.2986111111111111
LSTM,8,LOSO,0.2916666666666667
LSTM,9,LOSO,0.3125
TS-LR,1,within-CV,0.8159709618874773
TS-LR-logeuclid,1,within-CV,0.621415607985481
TS-LR,2,within-CV,0.5138535995160314
TS-LR-logeuclid,2,within-CV,0.4440411373260738
TS-LR,3,within-CV,0.8784633998790079
TS-LR-logeuclid,3,within-CV,0.7260738052026618
TS-LR,4,within-CV,0.5934664246823956
TS-LR-logeuclid,4,within-CV,0.4546884452510586
TS-LR,5,within-CV,0.4443436176648517
TS-LR-logeuclid,5,within-CV,0.340411373260738
TS-LR,6,within-CV,0.5209316394434362
TS-LR-logeuclid,6,within-CV,0.371990320629159
TS-LR,7,within-CV,0.7569872958257713
TS-LR-logeuclid,7,within-CV,0.6392619479733818
TS-LR,8,within-CV,0.8644283121597095
TS-LR-logeuclid,8,within-CV,0.7463399879007865
TS-LR,9,within-CV,0.8301270417422867
TS-LR-logeuclid,9,within-CV,0.7189957652752572
MDM,1,within-CV,0.7499697519661223
MDM-logeuclid,1,within-CV,0.7151845130066545
MDM-euclid,1,within-CV,0.3679975801572898
MDM,2,within-CV,0.454930429522081
MDM-logeuclid,2,within-CV,0.4133091349062311
MDM-euclid,2,within-CV,0.2986690865093769
MDM,3,within-CV,0.6805202661826981
MDM-logeuclid,3,within-CV,0.6388384754990926
MDM-euclid,3,within-CV,0.3782819116757411
MDM,4,within-CV,0.4998790078644888
MDM-logeuclid,4,within-CV,0.4754385964912281
MDM-euclid,4,within-CV,0.3436781609195402
MDM,5,within-CV,0.4026618269812462
MDM-logeuclid,5,within-CV,0.3715668481548699
MDM-euclid,5,within-CV,0.2915910465819721
MDM,6,within-CV,0.4134301270417422
MDM-logeuclid,6,within-CV,0.3995160314579552
MDM-euclid,6,within-CV,0.3058681185722928
MDM,7,within-CV,0.6425892316999395
MDM-logeuclid,7,within-CV,0.5939503932244404
MDM-euclid,7,within-CV,0.3370840895341803
MDM,8,within-CV,0.7704174228675136
MDM-logeuclid,8,within-CV,0.7182093163944344
MDM-euclid,8,within-CV,0.3816696914700544
MDM,9,within-CV,0.7052026618269812
MDM-logeuclid,9,within-CV,0.6948578342407744
MDM-euclid,9,within-CV,0.440713853599516
CSP+LDA,1,cross-session,0.7708333333333334
MDM,1,cross-session,0.7395833333333334
EEGNet,1,cross-session,0.7222222222222222
CSP+LDA,2,cross-session,0.2777777777777778
MDM,2,cross-session,0.3368055555555556
EEGNet,2,cross-session,0.3506944444444444
CSP+LDA,3,cross-session,0.6979166666666666
MDM,3,cross-session,0.6701388888888888
EEGNet,3,cross-session,0.8680555555555556
