method,subject,protocol,score
CSP+LDA,1,LOSO,0.5729166666666666
CSP+LDA,2,LOSO,0.2916666666666667
CSP+LDA,3,LOSO,0.5868055555555556
CSP+LDA,4,LOSO,0.3958333333333333
CSP+LDA,5,LOSO,0.3125
CSP+LDA,6,LOSO,0.2916666666666667
CSP+LDA,7,LOSO,0.4722222222222222
CSP+LDA,8,LOSO,0.6215277777777778
CSP+LDA,9,LOSO,0.5590277777777778
CSP+MLP,1,LOSO,0.5902777777777778
CSP+MLP,2,LOSO,0.3194444444444444
CSP+MLP,3,LOSO,0.5659722222222222
CSP+MLP,4,LOSO,0.4479166666666667
CSP+MLP,5,LOSO,0.3055555555555556
CSP+MLP,6,LOSO,0.2673611111111111
CSP+MLP,7,LOSO,0.3368055555555556
CSP+MLP,8,LOSO,0.5590277777777778
CSP+MLP,9,LOSO,0.5034722222222222
LSTM,1,LOSO,0.3576388888888889
LSTM,2,LOSO,0.2395833333333333
LSTM,3,LOSO,0.3333333333333333
LSTM,4,LOSO,0.2743055555555556
LSTM,5,LOSO,0.2604166666666667
LSTM,6,LOSO,0.3020833333333333
LSTM,7,LOSO,0.2986111111111111
LSTM,8,LOSO,0.2916666666666667
LSTM,9,LOSO,0.3125
MDM,1,LOSO,0.5729166666666666
MDM,2,LOSO,0.2465277777777778
MDM,3,LOSO,0.4722222222222222
MDM,4,LOSO,0.4097222222222222
MDM,5,LOSO,0.2777777777777778
MDM,6,LOSO,0.2638888888888889
MDM,7,LOSO,0.4270833333333333
MDM,8,LOSO,0.6319444444444444
MDM,9,LOSO,0.5694444444444444
TS-LR,1,LOSO,0.46875
TS-LR,2,LOSO,0.3055555555555556
TS-LR,3,LOSO,0.7222222222222222
TS-LR,4,LOSO,0.4131944444444444
TS-LR,5,LOSO,0.2743055555555556
TS-LR,6,LOSO,0.3090277777777778
TS-LR,7,LOSO,0.375
TS-LR,8,LOSO,0.5555555555555556
TS-LR,9,LOSO,0.6493055555555556
TS-LR-RPA,1,LOSO,0.6284722222222222
TS-LR-RPA,2,LOSO,0.2881944444444444
TS-LR-RPA,3,LOSO,0.7430555555555556
TS-LR-RPA,4,LOSO,0.40625
TS-LR-RPA,5,LOSO,0.3958333333333333
TS-LR-RPA,6,LOSO,0.3888888888888889
TS-LR-RPA,7,LOSO,0.40625
TS-LR-RPA,8,LOSO,0.7152777777777778
TS-LR-RPA,9,LOSO,0.7256944444444444
EEGNet,1,LOSO,0.6215277777777778
EEGNet,2,LOSO,0.3090277777777778
EEGNet,3,LOSO,0.5104166666666666
EEGNet,4,LOSO,0.3888888888888889
EEGNet,5,LOSO,0.2743055555555556
EEGNet,6,LOSO,0.2916666666666667
EEGNet,7,LOSO,0.3784722222222222
EEGNet,8,LOSO,0.6388888888888888
EEGNet,9,LOSO,0.6770833333333334
