method,subject,protocol,score
CSP+LDA,1,within-CV,0.7569872958257713
CSP+LDA,2,within-CV,0.4964912280701754
CSP+LDA,3,within-CV,0.7707199032062915
CSP+LDA,4,within-CV,0.48941318814277074
CSP+LDA,5,within-CV,0.41651542649727774
CSP+LDA,6,within-CV,0.4479128856624319
CSP+LDA,7,within-CV,0.7225045372050818
CSP+LDA,8,within-CV,0.7918935269207501
CSP+LDA,9,within-CV,0.7119782214156081
CSP+MLP,1,within-CV,0.8089534180278282
CSP+MLP,2,within-CV,0.45136116152450095
CSP+MLP,3,within-CV,0.7534180278281911
CSP+MLP,4,within-CV,0.4759225650332729
CSP+MLP,5,within-CV,0.4303085299455535
CSP+MLP,6,within-CV,0.4583182093163944
CSP+MLP,7,within-CV,0.7329703569267998
CSP+MLP,8,within-CV,0.7917120387174833
CSP+MLP,9,within-CV,0.7119782214156081
EEGNet,1,within-CV,0.652692075015124
EEGNet,2,within-CV,0.46527525710828793
EEGNet,3,within-CV,0.7915305505142165
EEGNet,4,within-CV,0.5139140955837871
EEGNet,5,within-CV,0.48608590441621297
EEGNet,6,within-CV,0.4793103448275862
EEGNet,7,within-CV,0.6422867513611614
EEGNet,8,within-CV,0.7672716273442226
EEGNet,9,within-CV,0.8542044767090138
LSTM,1,within-CV,0.36436781609195407
LSTM,2,within-CV,0.2709013914095584
LSTM,3,within-CV,0.3366001209921355
LSTM,4,within-CV,0.23950393224440408
LSTM,5,within-CV,0.2776769509981851
LSTM,6,within-CV,0.2221415607985481
LSTM,7,within-CV,0.2882032667876588
LSTM,8,within-CV,0.2916515426497278
LSTM,9,within-CV,0.2675741076830006
CSP+LDA,1,LOSO,0.4965277777777778
CSP+LDA,2,LOSO,0.2534722222222222
CSP+LDA,3,LOSO,0.5694444444444444
CSP+LDA,4,LOSO,0.3263888888888889
CSP+LDA,5,LOSO,0.2569444444444444
CSP+LDA,6,LOSO,0.2986111111111111
CSP+LDA,7,LOSO,0.3715277777777778
CSP+LDA,8,LOSO,0.6458333333333334
CSP+LDA,9,LOSO,0.6909722222222222
CSP+MLP,1,LOSO,0.5034722222222222
CSP+MLP,2,LOSO,0.2951388888888889
CSP+MLP,3,LOSO,0.2881944444444444
CSP+MLP,4,LOSO,0.3680555555555556
CSP+MLP,5,LOSO,0.2777777777777778
CSP+MLP,6,LOSO,0.2986111111111111
CSP+MLP,7,LOSO,0.4097222222222222
CSP+MLP,8,LOSO,0.4444444444444444
CSP+MLP,9,LOSO,0.40625
EEGNet,1,LOSO,0.5451388888888888
EEGNet,2,LOSO,0.3020833333333333
EEGNet,3,LOSO,0.5347222222222222
EEGNet,4,LOSO,0.3368055555555556
EEGNet,5,LOSO,0.2638888888888889
EEGNet,6,LOSO,0.2916666666666667
EEGNet,7,LOSO,0.2673611111111111
EEGNet,8,LOSO,0.4791666666666667
EEGNet,9,LOSO,0.5625
LSTM,1,LOSO,0.2534722222222222
LSTM,2,LOSO,0.2743055555555556
LSTM,3,LOSO,0.2708333333333333
LSTM,4,LOSO,0.2673611111111111
LSTM,5,LOSO,0.2604166666666667
LSTM,6,LOSO,0.2361111111111111
LSTM,7,LOSO,0.2743055555555556
LSTM,8,LOSO,0.2534722222222222
LSTM,9,LOSO,0.24305555555555555
