method,subject,n_channels,score
CSP+LDA,1,4,0.6218995765275257
CSP+LDA,1,8,0.7464609800362976
CSP+LDA,1,12,0.7154264972776769
CSP+LDA,1,16,0.7603145795523292
CSP+LDA,1,22,0.7569872958257713
CSP+LDA,2,4,0.41349062310949786
CSP+LDA,2,8,0.5036902601330913
CSP+LDA,2,12,0.46182698124621896
CSP+LDA,2,16,0.46176648517846336
CSP+LDA,2,22,0.4964912280701754
CSP+LDA,3,4,0.7255293405928616
CSP+LDA,3,8,0.6978221415607986
CSP+LDA,3,12,0.8406533575317605
CSP+LDA,3,16,0.7772534785238959
CSP+LDA,3,22,0.7707199032062915
CSP+LDA,4,4,0.43042952208106466
CSP+LDA,4,8,0.4578342407743497
CSP+LDA,4,12,0.4268602540834845
CSP+LDA,4,16,0.482637628554144
CSP+LDA,4,22,0.48941318814277074
CSP+LDA,5,4,0.3644888082274652
CSP+LDA,5,8,0.3540834845735027
CSP+LDA,5,12,0.3956442831215971
CSP+LDA,5,16,0.3852389594676346
CSP+LDA,5,22,0.41651542649727774
CSP+LDA,6,4,0.3815486993345433
CSP+LDA,6,8,0.4303690260133092
CSP+LDA,6,12,0.3923774954627949
CSP+LDA,6,16,0.41669691470054443
CSP+LDA,6,22,0.4479128856624319
CSP+LDA,7,4,0.5694494857834241
CSP+LDA,7,8,0.6457350272232305
CSP+LDA,7,12,0.6774349667271627
CSP+LDA,7,16,0.7156079854809436
CSP+LDA,7,22,0.7225045372050818
CSP+LDA,8,4,0.7011494252873564
CSP+LDA,8,8,0.7811252268602541
CSP+LDA,8,12,0.7918330308529946
CSP+LDA,8,16,0.7847549909255898
CSP+LDA,8,22,0.7918935269207501
CSP+LDA,9,4,0.7568663036902602
CSP+LDA,9,8,0.698064125831821
CSP+LDA,9,12,0.7431941923774954
CSP+LDA,9,16,0.7222625529340593
CSP+LDA,9,22,0.7119782214156081
EEGNet,1,4,0.5903811252268601
EEGNet,1,8,0.6911070780399273
EEGNet,1,12,0.6771324863883847
EEGNet,1,16,0.6007259528130672
EEGNet,1,22,0.6528130671506351
EEGNet,2,4,0.4793103448275862
EEGNet,2,8,0.4967937084089534
EEGNet,2,12,0.4163944343617665
EEGNet,2,16,0.45868118572292804
EEGNet,2,22,0.45154264972776764
EEGNet,3,4,0.6771929824561405
EEGNet,3,8,0.6909860859044162
EEGNet,3,12,0.798366606170599
EEGNet,3,16,0.798790078644888
EEGNet,3,22,0.7709013914095584
EEGNet,4,4,0.45795523290986084
EEGNet,4,8,0.49618874773139743
EEGNet,4,12,0.471990320629159
EEGNet,4,16,0.4442831215970962
EEGNet,4,22,0.46872353297035685
EEGNet,5,4,0.3682395644283122
EEGNet,5,8,0.3924379915305505
EEGNet,5,12,0.37846339987900784
EEGNet,5,16,0.47918935269207497
EEGNet,5,22,0.5384150030248034
EEGNet,6,4,0.42359346642468243
EEGNet,6,8,0.3822141560798548
EEGNet,6,12,0.42014519056261346
EEGNet,6,16,0.4030852994555354
EEGNet,6,22,0.46533575317604353
EEGNet,7,4,0.6076225045372051
EEGNet,7,8,0.5909255898366605
EEGNet,7,12,0.6183303085299455
EEGNet,7,16,0.6182093163944343
EEGNet,7,22,0.6251663641863279
EEGNet,8,4,0.6527525710828797
EEGNet,8,8,0.698064125831821
EEGNet,8,12,0.7431941923774954
EEGNet,8,16,0.7011494252873562
EEGNet,8,22,0.7360556563823352
EEGNet,9,4,0.8091349062310951
EEGNet,9,8,0.8022988505747126
EEGNet,9,12,0.823049001814882
EEGNet,9,16,0.8022383545069571
EEGNet,9,22,0.8441016333938294
MDM,1,4,0.6252873563218391
MDM,1,8,0.7047186932849365
MDM,1,12,0.7186327888687235
MDM,1,16,0.7499092558983667
MDM,1,22,0.7499697519661223
MDM,2,4,0.41324863883847546
MDM,2,8,0.4479733817301875
MDM,2,12,0.42704174228675135
MDM,2,16,0.42704174228675135
MDM,2,22,0.4445251058681185
MDM,3,4,0.6597701149425288
MDM,3,8,0.6771929824561405
MDM,3,12,0.7047791893526922
MDM,3,16,0.6978221415607985
MDM,3,22,0.6805202661826981
MDM,4,4,0.378584392014519
MDM,4,8,0.46890502117362376
MDM,4,12,0.49298245614035086
MDM,4,16,0.4583182093163944
MDM,4,22,0.5033877797943134
MDM,5,4,0.33672111312764674
MDM,5,8,0.3678765880217786
MDM,5,12,0.37840290381125224
MDM,5,16,0.4026013309134906
MDM,5,22,0.3992135511191772
MDM,6,4,0.3888687235329703
MDM,6,8,0.42014519056261335
MDM,6,12,0.427102238354507
MDM,6,16,0.4235934664246823
MDM,6,22,0.40992135511191774
MDM,7,4,0.5349062310949788
MDM,7,8,0.6078644888082275
MDM,7,12,0.6356926799758016
MDM,7,16,0.6532365396249243
MDM,7,22,0.6565033272837265
MDM,8,4,0.6905021173623714
MDM,8,8,0.7150030248033878
MDM,8,12,0.7531155474894131
MDM,8,16,0.7566243194192377
MDM,8,22,0.7704174228675136
MDM,9,4,0.7120387174833634
MDM,9,8,0.7154869933454325
MDM,9,12,0.7226255293405929
MDM,9,16,0.7052631578947368
MDM,9,22,0.7017543859649124
TS-LR,1,4,0.6148215366001211
TS-LR,1,8,0.7394434361766485
TS-LR,1,12,0.7637023593466425
TS-LR,1,16,0.7779189352692075
TS-LR,1,22,0.8194797338173018
TS-LR,2,4,0.3924984875983061
TS-LR,2,8,0.4755595886267393
TS-LR,2,12,0.5033877797943134
TS-LR,2,16,0.48245614035087714
TS-LR,2,22,0.506896551724138
TS-LR,3,4,0.7223230490018148
TS-LR,3,8,0.7570477918935269
TS-LR,3,12,0.8612825166364185
TS-LR,3,16,0.8682395644283123
TS-LR,3,22,0.8819721718088325
TS-LR,4,4,0.43430127041742284
TS-LR,4,8,0.5173018753781005
TS-LR,4,12,0.5591046581972171
TS-LR,4,16,0.5449485783424077
TS-LR,4,22,0.6004234724742892
TS-LR,5,4,0.3784633998790078
TS-LR,5,8,0.35747126436781607
TS-LR,5,12,0.39219600725952813
TS-LR,5,16,0.4339987900786449
TS-LR,5,22,0.44440411373260735
TS-LR,6,4,0.4062310949788263
TS-LR,6,8,0.4131276467029643
TS-LR,6,12,0.4616454930429522
TS-LR,6,16,0.4721113127646703
TS-LR,6,22,0.5209316394434362
TS-LR,7,4,0.5731397459165154
TS-LR,7,8,0.6497277676950999
TS-LR,7,12,0.6805807622504536
TS-LR,7,16,0.6912280701754386
TS-LR,7,22,0.7604960677555959
TS-LR,8,4,0.7009679370840896
TS-LR,8,8,0.7707199032062917
TS-LR,8,12,0.8159709618874773
TS-LR,8,16,0.8159104658197218
TS-LR,8,22,0.8539019963702359
TS-LR,9,4,0.7534785238959468
