method,subject,n_channels,score
CSP+LDA,1,62,0.54
MDM,1,62,0.58
TS-LR,1,62,0.76
EEGNet,1,62,0.5199999999999999
CSP+LDA,1,16,0.7300000000000001
MDM,1,16,0.68
TS-LR,1,16,0.74
EEGNet,1,16,0.66
CSP+LDA,1,12,0.76
MDM,1,12,0.71
TS-LR,1,12,0.7699999999999999
EEGNet,1,12,0.6299999999999999
CSP+LDA,1,8,0.71
MDM,1,8,0.7
TS-LR,1,8,0.72
EEGNet,1,8,0.6
CSP+LDA,1,4,0.65
MDM,1,4,0.65
TS-LR,1,4,0.74
EEGNet,1,4,0.53
CSP+LDA,2,62,0.9800000000000001
MDM,2,62,0.67
TS-LR,2,62,0.8800000000000001
EEGNet,2,62,0.49000000000000005
CSP+LDA,2,16,0.9400000000000001
MDM,2,16,0.9099999999999999
TS-LR,2,16,0.9700000000000001
EEGNet,2,16,0.8200000000000001
CSP+LDA,2,12,0.93
MDM,2,12,0.9199999999999999
TS-LR,2,12,0.9600000000000002
EEGNet,2,12,0.8800000000000001
CSP+LDA,2,8,0.89
MDM,2,8,0.8800000000000001
TS-LR,2,8,0.9199999999999999
EEGNet,2,8,0.85
CSP+LDA,2,4,0.8299999999999998
MDM,2,4,0.7699999999999999
TS-LR,2,4,0.8099999999999999
EEGNet,2,4,0.97
CSP+LDA,3,62,0.9400000000000001
MDM,3,62,0.65
TS-LR,3,62,0.9200000000000002
EEGNet,3,62,0.6599999999999999
CSP+LDA,3,16,0.9
MDM,3,16,0.7200000000000001
TS-LR,3,16,0.95
EEGNet,3,16,0.8799999999999999
CSP+LDA,3,12,0.9099999999999999
MDM,3,12,0.71
TS-LR,3,12,0.95
EEGNet,3,12,0.8800000000000001
CSP+LDA,3,8,0.8400000000000001
MDM,3,8,0.8
TS-LR,3,8,0.85
EEGNet,3,8,0.8200000000000001
CSP+LDA,3,4,0.7
MDM,3,4,0.6599999999999999
TS-LR,3,4,0.74
EEGNet,3,4,0.79
CSP+LDA,4,62,0.52
MDM,4,62,0.5
TS-LR,4,62,0.68
EEGNet,4,62,0.6900000000000001
CSP+LDA,4,16,0.59
MDM,4,16,0.6200000000000001
TS-LR,4,16,0.6699999999999999
EEGNet,4,16,0.6799999999999999
CSP+LDA,4,12,0.5599999999999999
MDM,4,12,0.6200000000000001
TS-LR,4,12,0.68
EEGNet,4,12,0.5700000000000001
CSP+LDA,4,8,0.48
MDM,4,8,0.6200000000000001
TS-LR,4,8,0.6699999999999999
EEGNet,4,8,0.54
CSP+LDA,4,4,0.5299999999999999
MDM,4,4,0.58
TS-LR,4,4,0.56
EEGNet,4,4,0.5000000000000001
CSP+LDA,5,62,0.9200000000000002
MDM,5,62,0.76
TS-LR,5,62,0.85
EEGNet,5,62,0.5399999999999999
CSP+LDA,5,16,0.9399999999999998
MDM,5,16,0.8800000000000001
TS-LR,5,16,0.9199999999999999
EEGNet,5,16,0.8400000000000001
CSP+LDA,5,12,0.93
MDM,5,12,0.93
TS-LR,5,12,0.9099999999999999
EEGNet,5,12,0.6900000000000001
CSP+LDA,5,8,0.86
MDM,5,8,0.8299999999999998
TS-LR,5,8,0.86
EEGNet,5,8,0.68
CSP+LDA,5,4,0.7899999999999999
MDM,5,4,0.7
TS-LR,5,4,0.8300000000000001
EEGNet,5,4,0.7799999999999999
CSP+LDA,6,62,0.8099999999999999
MDM,6,62,0.61
TS-LR,6,62,0.8099999999999999
EEGNet,6,62,0.55
CSP+LDA,6,16,0.65
MDM,6,16,0.54
TS-LR,6,16,0.6399999999999999
EEGNet,6,16,0.53
CSP+LDA,6,12,0.64
MDM,6,12,0.5200000000000001
TS-LR,6,12,0.61
EEGNet,6,12,0.49000000000000005
CSP+LDA,6,8,0.63
MDM,6,8,0.54
TS-LR,6,8,0.6199999999999999
EEGNet,6,8,0.54
CSP+LDA,6,4,0.62
MDM,6,4,0.51
TS-LR,6,4,0.5900000000000001
EEGNet,6,4,0.5599999999999999
CSP+LDA,7,62,0.5900000000000001
MDM,7,62,0.59
TS-LR,7,62,0.64
EEGNet,7,62,0.52
CSP+LDA,7,16,0.5700000000000001
MDM,7,16,0.62
TS-LR,7,16,0.7100000000000001
EEGNet,7,16,0.41000000000000003
CSP+LDA,7,12,0.61
MDM,7,12,0.6
TS-LR,7,12,0.6
EEGNet,7,12,0.45
CSP+LDA,7,8,0.4699999999999999
MDM,7,8,0.57
TS-LR,7,8,0.57
EEGNet,7,8,0.53
CSP+LDA,7,4,0.5
MDM,7,4,0.5
TS-LR,7,4,0.51
EEGNet,7,4,0.41999999999999993
CSP+LDA,8,62,0.55
MDM,8,62,0.53
TS-LR,8,62,0.6599999999999999
EEGNet,8,62,0.5
CSP+LDA,8,16,0.6799999999999999
MDM,8,16,0.6
TS-LR,8,16,0.65
EEGNet,8,16,0.7
CSP+LDA,8,12,0.55
MDM,8,12,0.6100000000000001
TS-LR,8,12,0.5800000000000001
EEGNet,8,12,0.71
CSP+LDA,8,8,0.5900000000000001
MDM,8,8,0.5700000000000001
TS-LR,8,8,0.61
EEGNet,8,8,0.74
CSP+LDA,8,4,0.52
MDM,8,4,0.54
TS-LR,8,4,0.57
EEGNet,8,4,0.74
CSP+LDA,9,62,0.85
MDM,9,62,0.6699999999999999
TS-LR,9,62,0.78
EEGNet,9,62,0.75
CSP+LDA,9,16,0.8100000000000002
