method,subject,protocol,score
CSP+LDA,1,cross-session,0.65
MDM,1,cross-session,0.66
TS-LR,1,cross-session,0.66
EEGNet,1,cross-session,0.48
CSP+LDA,2,cross-session,0.6
MDM,2,cross-session,0.64
TS-LR,2,cross-session,0.77
EEGNet,2,cross-session,0.48
CSP+LDA,3,cross-session,0.9
MDM,3,cross-session,0.6
TS-LR,3,cross-session,0.96
EEGNet,3,cross-session,0.55
CSP+LDA,4,cross-session,0.49
MDM,4,cross-session,0.54
TS-LR,4,cross-session,0.63
EEGNet,4,cross-session,0.6
CSP+LDA,5,cross-session,0.71
MDM,5,cross-session,0.72
TS-LR,5,cross-session,0.86
EEGNet,5,cross-session,0.66
CSP+LDA,6,cross-session,0.77
MDM,6,cross-session,0.63
TS-LR,6,cross-session,0.76
EEGNet,6,cross-session,0.64
CSP+LDA,7,cross-session,0.6
MDM,7,cross-session,0.51
TS-LR,7,cross-session,0.73
EEGNet,7,cross-session,0.5
CSP+LDA,8,cross-session,0.46
MDM,8,cross-session,0.51
TS-LR,8,cross-session,0.53
EEGNet,8,cross-session,0.62
CSP+LDA,9,cross-session,0.67
MDM,9,cross-session,0.69
TS-LR,9,cross-session,0.69
EEGNet,9,cross-session,0.74
CSP+LDA,10,cross-session,0.74
MDM,10,cross-session,0.66
TS-LR,10,cross-session,0.74
EEGNet,10,cross-session,0.64
CSP+LDA,11,cross-session,0.5
MDM,11,cross-session,0.47
TS-LR,11,cross-session,0.52
EEGNet,11,cross-session,0.54
CSP+LDA,12,cross-session,0.56
MDM,12,cross-session,0.46
TS-LR,12,cross-session,0.66
EEGNet,12,cross-session,0.57
CSP+LDA,13,cross-session,0.54
MDM,13,cross-session,0.54
TS-LR,13,cross-session,0.53
EEGNet,13,cross-session,0.56
CSP+LDA,14,cross-session,0.47
MDM,14,cross-session,0.56
TS-LR,14,cross-session,0.59
EEGNet,14,cross-session,0.51
CSP+LDA,15,cross-session,0.49
MDM,15,cross-session,0.59
TS-LR,15,cross-session,0.49
EEGNet,15,cross-session,0.45
CSP+LDA,16,cross-session,0.42
MDM,16,cross-session,0.48
TS-LR,16,cross-session,0.58
EEGNet,16,cross-session,0.47
CSP+LDA,17,cross-session,0.5
MDM,17,cross-session,0.53
TS-LR,17,cross-session,0.67
EEGNet,17,cross-session,0.45
CSP+LDA,18,cross-session,0.84
MDM,18,cross-session,0.68
TS-LR,18,cross-session,0.67
EEGNet,18,cross-session,0.7
CSP+LDA,19,cross-session,0.81
MDM,19,cross-session,0.61
TS-LR,19,cross-session,0.71
EEGNet,19,cross-session,0.65
CSP+LDA,20,cross-session,0.55
MDM,20,cross-session,0.48
TS-LR,20,cross-session,0.55
EEGNet,20,cross-session,0.49
CSP+LDA,21,cross-session,0.95
MDM,21,cross-session,0.7
TS-LR,21,cross-session,0.96
EEGNet,21,cross-session,0.88
CSP+LDA,22,cross-session,0.52
MDM,22,cross-session,0.52
TS-LR,22,cross-session,0.71
EEGNet,22,cross-session,0.51
CSP+LDA,23,cross-session,0.89
MDM,23,cross-session,0.75
TS-LR,23,cross-session,0.84
EEGNet,23,cross-session,0.65
CSP+LDA,24,cross-session,0.65
MDM,24,cross-session,0.56
TS-LR,24,cross-session,0.65
EEGNet,24,cross-session,0.51
CSP+LDA,25,cross-session,0.58
MDM,25,cross-session,0.58
TS-LR,25,cross-session,0.77
EEGNet,25,cross-session,0.56
CSP+LDA,26,cross-session,0.47
MDM,26,cross-session,0.43
TS-LR,26,cross-session,0.47
EEGNet,26,cross-session,0.51
CSP+LDA,27,cross-session,0.44
MDM,27,cross-session,0.5
TS-LR,27,cross-session,0.48
EEGNet,27,cross-session,0.48
CSP+LDA,28,cross-session,0.67
MDM,28,cross-session,0.63
TS-LR,28,cross-session,0.74
EEGNet,28,cross-session,0.68
CSP+LDA,29,cross-session,0.5
MDM,29,cross-session,0.96
TS-LR,29,cross-session,0.92
EEGNet,29,cross-session,0.91
CSP+LDA,30,cross-session,0.49
MDM,30,cross-session,0.57
TS-LR,30,cross-session,0.58
EEGNet,30,cross-session,0.54
CSP+LDA,31,cross-session,0.52
MDM,31,cross-session,0.51
TS-LR,31,cross-session,0.52
EEGNet,31,cross-session,0.66
CSP+LDA,32,cross-session,0.86
MDM,32,cross-session,0.87
TS-LR,32,cross-session,0.96
EEGNet,32,cross-session,0.78
CSP+LDA,33,cross-session,0.91
MDM,33,cross-session,0.86
TS-LR,33,cross-session,0.88
EEGNet,33,cross-session,0.69
CSP+LDA,34,cross-session,0.51
MDM,34,cross-session,0.44
TS-LR,34,cross-session,0.51
EEGNet,34,cross-session,0.51
CSP+LDA,35,cross-session,0.52
MDM,35,cross-session,0.75
TS-LR,35,cross-session,0.62
EEGNet,35,cross-session,0.46
CSP+LDA,36,cross-session,0.97
MDM,36,cross-session,0.98
TS-LR,36,cross-session,0.97
EEGNet,36,cross-session,0.95
CSP+LDA,37,cross-session,0.82
MDM,37,cross-session,0.88
TS-LR,37,cross-session,0.9
EEGNet,37,cross-session,0.87
CSP+LDA,38,cross-session,0.57
MDM,38,cross-session,0.52
TS-LR,38,cross-session,0.47
EEGNet,38,cross-session,0.57
CSP+LDA,39,cross-session,0.59
MDM,39,cross-session,0.59
TS-LR,39,cross-session,0.63
EEGNet,39,cross-session,0.49
CSP+LDA,40,cross-session,0.51
MDM,40,cross-session,0.52
TS-LR,40,cross-session,0.52
EEGNet,40,cross-session,0.68
CSP+LDA,41,cross-session,0.54
MDM,41,cross-session,0.54
TS-LR,41,cross-session,0.53
EEGNet,41,cross-session,0.51
CSP+LDA,42,cross-session,0.65
MDM,42,cross-session,0.55
TS-LR,42,cross-session,0.69
EEGNet,42,cross-session,0.59
CSP+LDA,43,cross-session,0.66
MDM,43,cross-session,0.65
TS-LR,43,cross-session,0.66
EEGNet,43,cross-session,0.5
CSP+LDA,44,cross-session,0.97
MDM,44,cross-session,0.5
TS-LR,44,cross-session,0.66
EEGNet,44,cross-session,0.8
CSP+LDA,45,cross-session,0.85
MDM,45,cross-session,0.52
TS-LR,45,cross-session,0.85
EEGNet,45,cross-session,0.6
CSP+LDA,46,cross-session,0.48
MDM,46,cross-session,0.59
TS-LR,46,cross-session,0.58
EEGNet,46,cross-session,0.42
CSP+LDA,47,cross-session,0.65
MDM,47,cross-session,0.56
TS-LR,47,cross-session,0.59
EEGNet,47,cross-session,0.64
CSP+LDA,48,cross-session,0.66
MDM,48,cross-session,0.57
TS-LR,48,cross-session,0.62
EEGNet,48,cross-session,0.56
CSP+LDA,49,cross-session,0.64
MDM,49,cross-session,0.59
TS-LR,49,cross-session,0.7
EEGNet,49,cross-session,0.61
CSP+LDA,50,cross-session,0.5
MDM,50,cross-session,0.51
TS-LR,50,cross-session,0.5
EEGNet,50,cross-session,0.48
CSP+LDA,51,cross-session,0.57
MDM,51,cross-session,0.59
TS-LR,51,cross-session,0.56
EEGNet,51,cross-session,0.54
CSP+LDA,52,cross-session,0.68
MDM,52,cross-session,0.62
TS-LR,52,cross-session,0.63
EEGNet,52,cross-session,0.52
CSP+LDA,53,cross-session,0.65
MDM,53,cross-session,0.6
TS-LR,53,cross-session,0.66
EEGNet,53,cross-session,0.53
CSP+LDA,54,cross-session,0.39
MDM,54,cross-session,0.49
TS-LR,54,cross-session,0.48
EEGNet,54,cross-session,0.56
TS-LR-RPA,1,cross-session,0.74
TS-LR-RPA,2,cross-session,0.79
TS-LR-RPA,3,cross-session,0.94
TS-LR-RPA,4,cross-session,0.69
TS-LR-RPA,5,cross-session,0.86
TS-LR-RPA,6,cross-session,0.73
