method,subject,protocol,score
CSP+LDA,1,LOSO,0.77
CSP+LDA,2,LOSO,0.73
CSP+LDA,3,LOSO,0.62
CSP+LDA,4,LOSO,0.53
CSP+LDA,5,LOSO,0.53
CSP+LDA,6,LOSO,0.52
CSP+LDA,7,LOSO,0.43
CSP+LDA,8,LOSO,0.56
CSP+LDA,9,LOSO,0.81
CSP+LDA,10,LOSO,0.62
CSP+LDA,11,LOSO,0.49
CSP+LDA,12,LOSO,0.67
CSP+LDA,13,LOSO,0.61
CSP+LDA,14,LOSO,0.65
CSP+LDA,15,LOSO,0.46
CSP+LDA,16,LOSO,0.63
CSP+LDA,17,LOSO,0.69
CSP+LDA,18,LOSO,0.87
CSP+LDA,19,LOSO,0.79
CSP+LDA,20,LOSO,0.61
CSP+LDA,21,LOSO,0.83
CSP+LDA,22,LOSO,0.56
CSP+LDA,23,LOSO,0.7
CSP+LDA,24,LOSO,0.59
CSP+LDA,25,LOSO,0.57
CSP+LDA,26,LOSO,0.58
CSP+LDA,27,LOSO,0.58
CSP+LDA,28,LOSO,0.79
CSP+LDA,29,LOSO,0.64
CSP+LDA,30,LOSO,0.6
CSP+LDA,31,LOSO,0.58
CSP+LDA,32,LOSO,0.67
CSP+LDA,33,LOSO,0.79
CSP+LDA,34,LOSO,0.54
CSP+LDA,35,LOSO,0.49
CSP+LDA,36,LOSO,0.85
CSP+LDA,37,LOSO,0.93
CSP+LDA,38,LOSO,0.55
CSP+LDA,39,LOSO,0.82
CSP+LDA,40,LOSO,0.61
CSP+LDA,41,LOSO,0.51
CSP+LDA,42,LOSO,0.56
CSP+LDA,43,LOSO,0.72
CSP+LDA,44,LOSO,0.77
CSP+LDA,45,LOSO,0.59
CSP+LDA,46,LOSO,0.61
CSP+LDA,47,LOSO,0.5
CSP+LDA,48,LOSO,0.59
CSP+LDA,49,LOSO,0.65
CSP+LDA,50,LOSO,0.51
CSP+LDA,51,LOSO,0.62
CSP+LDA,52,LOSO,0.67
CSP+LDA,53,LOSO,0.55
CSP+LDA,54,LOSO,0.48
MDM,1,LOSO,0.61
MDM,2,LOSO,0.58
MDM,3,LOSO,0.66
MDM,4,LOSO,0.55
MDM,5,LOSO,0.5
MDM,6,LOSO,0.51
MDM,7,LOSO,0.54
MDM,8,LOSO,0.53
MDM,9,LOSO,0.66
MDM,10,LOSO,0.63
MDM,11,LOSO,0.45
MDM,12,LOSO,0.53
MDM,13,LOSO,0.5
MDM,14,LOSO,0.73
MDM,15,LOSO,0.51
MDM,16,LOSO,0.54
MDM,17,LOSO,0.55
MDM,18,LOSO,0.8
MDM,19,LOSO,0.69
MDM,20,LOSO,0.63
MDM,21,LOSO,0.86
MDM,22,LOSO,0.62
MDM,23,LOSO,0.79
MDM,24,LOSO,0.51
MDM,25,LOSO,0.57
MDM,26,LOSO,0.59
MDM,27,LOSO,0.55
MDM,28,LOSO,0.75
MDM,29,LOSO,0.73
MDM,30,LOSO,0.56
MDM,31,LOSO,0.51
MDM,32,LOSO,0.72
MDM,33,LOSO,0.71
MDM,34,LOSO,0.52
MDM,35,LOSO,0.58
MDM,36,LOSO,0.72
MDM,37,LOSO,0.88
MDM,38,LOSO,0.57
MDM,39,LOSO,0.58
MDM,40,LOSO,0.61
MDM,41,LOSO,0.5
MDM,42,LOSO,0.6
MDM,43,LOSO,0.67
MDM,44,LOSO,0.76
MDM,45,LOSO,0.45
MDM,46,LOSO,0.64
MDM,47,LOSO,0.52
MDM,48,LOSO,0.58
MDM,49,LOSO,0.7
MDM,50,LOSO,0.39
MDM,51,LOSO,0.58
MDM,52,LOSO,0.63
MDM,53,LOSO,0.59
MDM,54,LOSO,0.57
TS-LR,1,LOSO,0.67
TS-LR,2,LOSO,0.71
TS-LR,3,LOSO,0.88
TS-LR,4,LOSO,0.57
TS-LR,5,LOSO,0.7
TS-LR,6,LOSO,0.55
TS-LR,7,LOSO,0.61
TS-LR,8,LOSO,0.6
TS-LR,9,LOSO,0.75
TS-LR,10,LOSO,0.7
TS-LR,11,LOSO,0.49
TS-LR,12,LOSO,0.64
TS-LR,13,LOSO,0.55
TS-LR,14,LOSO,0.69
TS-LR,15,LOSO,0.53
TS-LR,16,LOSO,0.52
TS-LR,17,LOSO,0.69
TS-LR,18,LOSO,0.81
TS-LR,19,LOSO,0.79
TS-LR,20,LOSO,0.66
TS-LR,21,LOSO,0.82
TS-LR,22,LOSO,0.57
TS-LR,23,LOSO,0.85
TS-LR,24,LOSO,0.61
TS-LR,25,LOSO,0.49
TS-LR,26,LOSO,0.6
TS-LR,27,LOSO,0.57
TS-LR,28,LOSO,0.85
TS-LR,29,LOSO,0.59
TS-LR,30,LOSO,0.58
TS-LR,31,LOSO,0.71
TS-LR,32,LOSO,0.9
TS-LR,33,LOSO,0.84
TS-LR,34,LOSO,0.45
TS-LR,35,LOSO,0.52
TS-LR,36,LOSO,0.97
TS-LR,37,LOSO,0.89
TS-LR,38,LOSO,0.55
TS-LR,39,LOSO,0.78
TS-LR,40,LOSO,0.66
TS-LR,41,LOSO,0.51
TS-LR,42,LOSO,0.69
TS-LR,43,LOSO,0.77
TS-LR,44,LOSO,0.76
TS-LR,45,LOSO,0.77
TS-LR,46,LOSO,0.65
TS-LR,47,LOSO,0.54
TS-LR,48,LOSO,0.61
TS-LR,49,LOSO,0.62
TS-LR,50,LOSO,0.52
TS-LR,51,LOSO,0.65
TS-LR,52,LOSO,0.6
TS-LR,53,LOSO,0.53
TS-LR,54,LOSO,0.6
TS-LR-RPA,1,LOSO,0.72
TS-LR-RPA,2,LOSO,0.79
TS-LR-RPA,3,LOSO,0.88
TS-LR-RPA,4,LOSO,0.61
TS-LR-RPA,5,LOSO,0.84
TS-LR-RPA,6,LOSO,0.61
TS-LR-RPA,7,LOSO,0.61
TS-LR-RPA,8,LOSO,0.62
TS-LR-RPA,9,LOSO,0.76
TS-LR-RPA,10,LOSO,0.72
TS-LR-RPA,11,LOSO,0.54
TS-LR-RPA,12,LOSO,0.68
TS-LR-RPA,13,LOSO,0.62
TS-LR-RPA,14,LOSO,0.7
TS-LR-RPA,15,LOSO,0.5
